customer_Id,DOB,Gender,city_code,Mobile
268408,02/01/70,M,4,9996380469
269696,07/01/70,F,8,9995932803
268159,08/01/70,F,8,9992678175
270181,10/01/70,F,2,9995913038
268073,11/01/70,M,1,9993474462
273216,15/01/70,F,5,9996769327
266929,15/01/70,M,8,9997323888
275152,16/01/70,M,4,9990290051
275034,18/01/70,F,4,9991331040
273966,21/01/70,M,8,9996528926
270829,22/01/70,F,8,9993522212
266997,23/01/70,M,9,9991719191
272455,25/01/70,M,7,9991049347
274593,26/01/70,M,10,9997874966
273391,29/01/70,F,2,9997874676
267657,29/01/70,F,7,9991134444
271344,29/01/70,F,5,9991351808
268275,01/02/70,F,7,9992958174
274630,01/02/70,M,4,9998226874
273541,01/02/70,M,4,9998700374
270324,01/02/70,F,1,9995287677
273613,06/02/70,M,1,9995092934
271608,09/02/70,F,4,9996634526
269008,13/02/70,F,6,9996435289
267199,14/02/70,,2,9991611589
267916,17/02/70,F,8,9991362119
267609,18/02/70,M,2,9995511718
270602,18/02/70,M,5,9991913223
272883,19/02/70,M,5,9991144356
272359,19/02/70,M,4,9993086043
272603,19/02/70,F,9,9992035769
272028,20/02/70,F,1,9991808587
274717,21/02/70,M,7,9999687638
273316,21/02/70,M,2,9996299048
271262,21/02/70,M,2,9996818501
267166,22/02/70,F,4,9997244864
270827,04/03/70,F,10,9993077869
273423,04/03/70,F,4,9990655059
271692,07/03/70,M,5,9990593445
274592,08/03/70,M,5,9999981256
271777,08/03/70,M,8,9995241446
266895,12/03/70,M,4,9996162285
274360,14/03/70,M,5,9999680297
274602,15/03/70,F,3,9995308417
266799,16/03/70,F,5,9999103634
272821,17/03/70,F,3,9995025258
267379,21/03/70,F,2,9999906139
273016,22/03/70,M,3,9991463721
273106,23/03/70,F,2,9995179751
271935,26/03/70,M,5,9999576360
273109,27/03/70,F,5,9993132644
270986,27/03/70,M,10,9996778338
266969,28/03/70,M,2,9991938370
273871,29/03/70,M,7,9992043992
273811,29/03/70,M,8,9998971829
271312,01/04/70,F,5,9998058619
274834,02/04/70,M,4,9993264301
271991,02/04/70,M,5,9992639812
269765,04/04/70,F,9,9990662232
272071,06/04/70,F,6,9997890795
272645,14/04/70,F,2,9999000995
270780,18/04/70,F,3,9999771170
272736,19/04/70,F,1,9992352109
272627,19/04/70,F,3,9993147937
272795,22/04/70,M,1,9999590204
270450,24/04/70,F,3,9993903496
266862,24/04/70,F,5,9991277662
274535,26/04/70,F,4,9992910442
269640,29/04/70,M,7,9994264828
268290,29/04/70,M,7,9992730677
275250,02/05/70,F,1,9999518791
272555,03/05/70,M,1,9990392826
268732,06/05/70,M,2,9991293047
271478,06/05/70,F,1,9998671413
267529,09/05/70,M,4,9993704860
271066,10/05/70,M,8,9996841215
267819,10/05/70,F,9,9990403804
269271,12/05/70,F,5,9997608742
273150,14/05/70,F,10,9990321667
267386,15/05/70,M,7,9993911668
274350,16/05/70,F,3,9990973766
273645,22/05/70,F,4,9999485448
270911,22/05/70,M,2,9997193226
268424,23/05/70,F,8,9991934493
271045,23/05/70,F,7,9992935832
268627,01/06/70,M,9,9992088507
270430,01/06/70,M,7,9995442736
271626,02/06/70,,6,9996624199
272301,03/06/70,F,8,9997689587
269531,05/06/70,M,2,9996286362
274849,09/06/70,M,4,9991523134
271031,09/06/70,F,2,9996137974
272018,09/06/70,F,6,9993257457
272186,09/06/70,M,10,9990566576
270047,10/06/70,M,1,9992476997
274128,10/06/70,M,10,9998314234
268313,11/06/70,F,8,9995492675
270933,15/06/70,M,8,9995333845
271072,16/06/70,M,6,9990094694
271465,17/06/70,F,9,9990646242
274770,17/06/70,F,2,9990262750
270676,19/06/70,M,5,9994265835
273529,19/06/70,F,1,9990021688
273162,19/06/70,M,8,9995144002
268533,23/06/70,F,6,9993963296
275246,25/06/70,M,3,9998899228
267066,25/06/70,F,10,9995915315
269345,26/06/70,F,10,9994372598
275116,29/06/70,M,5,9999779140
273840,01/07/70,M,3,9997095879
268792,04/07/70,M,4,9996741405
274892,05/07/70,F,8,9997363811
273708,09/07/70,F,7,9991765658
272495,10/07/70,M,8,9997716621
272926,11/07/70,F,4,9999353924
